ID,RA,DEC,nH(1e22cm-2),z
SDSSTG8050,169.0880126953125,29.22171401977539,1.3e+20,0.04600000008940697
SDSSTG10842,164.5411376953125,1.6017569303512573,3.41e+20,0.03999999910593033
SDSSTG885,117.04605865478516,18.546812057495117,5.57e+20,0.04699999839067459
SDSSTG1011,223.59719848632812,16.355257034301758,1.87e+20,0.045867204666137695
SDSSTG9695,165.221435546875,10.547090530395508,2.45e+20,0.03799999877810478
SDSSTG4654,188.9218292236328,26.523090362548828,1.25e+20,0.023000000044703484
SDSSTG1695,155.4207763671875,23.92559051513672,1.67e+20,0.03999999910593033
SDSSTG15641,141.96983337402344,29.985252380371094,1.89e+20,0.02800000086426735
SDSSTG3128,243.14767456054688,29.485424041748047,3.58e+20,0.03200000151991844
SDSSTG2620,233.13343811035156,4.680812358856201,4.75e+20,0.039000000804662704
SDSSTG12349,200.0604705810547,33.143367767333984,1.36e+20,0.03700000047683716
SDSSTG16150,123.64912414550781,55.14478302001953,4.83e+20,0.032999999821186066
SDSSTG3460,170.73451232910156,34.11109161376953,2.43e+20,0.04399999976158142
SDSSTG9771,205.5993194580078,29.824562072753906,1.42e+20,0.04399999976158142
SDSSTG1601,161.08627319335938,14.084173202514648,2.96e+20,0.03400000184774399
SDSSTG10094,151.7163848876953,14.373395919799805,3.91e+20,0.03099999949336052
SDSSTG6159,203.9925537109375,33.47374725341797,9.4e+19,0.026000000536441803
SDSSTG8102,238.7567901611328,41.57878494262695,1.63e+20,0.032999999821186066
SDSSTG9178,162.49549865722656,0.3224236071109772,3.86e+20,0.03999999910593033
SDSSTG39344,184.96627807617188,28.42242431640625,2.04e+20,0.02800000086426735
SDSSTG5742,176.59178161621094,33.16153335571289,1.86e+20,0.03400000184774399
SDSSTG6058,156.09390258789062,41.706172943115234,9.34e+19,0.04500000178813934
SDSSTG1162,232.37232971191406,7.572701454162598,4.26e+20,0.04399999976158142
SDSSTG15354,181.10316467285156,42.561588287353516,1.2e+20,0.05400000140070915
SDSSTG2424,241.60598754882812,15.686145782470703,3.62e+20,0.03999999910593033
SDSSTG46701,123.26100158691406,54.29410171508789,4.44e+20,0.041999999433755875
SDSSTG35976,136.98800659179688,49.5984992980957,1.74e+20,0.035999998450279236
SDSSTG9399,140.8509979248047,22.313100814819336,3.54e+20,0.03500000014901161
SDSSTG4436,159.30099487304688,50.120601654052734,1.26e+20,0.04600000008940697
SDSSTG9647,138.41400146484375,29.992900848388672,2.01e+20,0.023000000044703484
SDSSTG4936,145.88800048828125,39.41510009765625,1.57e+20,0.041999999433755875
SDSSTG828,153.42799377441406,-0.9281790256500244,3.89e+20,0.04600000008940697
SDSSTG15776,164.427001953125,37.65449905395508,1.68e+20,0.035999998450279236
SDSSTG9370,196.2429962158203,43.55289840698242,1.62e+20,0.03799999877810478
SDSSTG21128,197.18299865722656,13.807000160217285,2.09e+20,0.06199999898672104
SDSSTG1398,228.197998046875,7.4344000816345215,2.81e+20,0.04600000008940697
SDSSTG40241,239.1719970703125,20.171600341796875,3.9e+20,0.04899999871850014
SDSSTG11844,216.16900634765625,26.625099182128906,1.63e+20,0.03799999877810478
SDSSTG24595,249.27499389648438,44.269798278808594,9.12e+19,0.03099999949336052
SDSSTG4047,174.013914,55.0742289,9.76e+19,0.057999998331069946
SDSSTG3513,252.5652976,23.5796456,5.07e+20,0.035999998450279236
SDSSTG16393,152.5681877,54.5012843,7.89e+19,0.04699999839067459
SDSSTG15354,181.1026623,42.5622529,1.2e+20,0.05400000140070915
SDSSTG16386,249.2767948,44.2686837,9.12e+19,0.03099999949336052
SDSSTG10159,206.3003885,23.0746795,1.34e+20,0.03099999949336052
SDSSTG11631,239.6325186,18.0219913,3.65e+20,0.04600000008940697
SDSSTG3669,162.1881562,22.2132693,1.72e+20,0.04800000041723251
SDSSTG11320,146.8411102,54.4720806,1.22e+20,0.04500000178813934
SDSSTG28674,203.2814107,32.5145052,1.02e+20,0.03700000047683716
SDSSTG22635,230.0447523,25.7209162,4.64e+20,0.03400000184774399
