 Position       |   E(B-V) (mag)   | NHI (atoms cm-2)    | NH2 (atoms cm-2)    | NH,tot (atoms cm-2) |
                    | Mean  | Weighted |  Mean    | Weighted |  Mean    | Weighted |   Mean   | Weighted |
+===================+=======+==========+==========+==========+==========+==========+==========+==========+

J 169.08801, 29.22171| 0.017 | 0.017    | 1.28e+20 | 1.24e+20 | 6.18e+18 | 5.97e+18 | 1.34e+20 | 1.30e+20 |
J 164.54114, 1.60176 | 0.033 | 0.033    | 3.15e+20 | 3.07e+20 | 3.54e+19 | 3.38e+19 | 3.50e+20 | 3.41e+20 |
J 117.04606, 18.54681| 0.042 | 0.044    | 4.48e+20 | 4.82e+20 | 6.62e+19 | 7.47e+19 | 5.14e+20 | 5.57e+20 |
J 223.59720, 16.35526| 0.026 | 0.025    | 1.80e+20 | 1.73e+20 | 1.48e+19 | 1.37e+19 | 1.95e+20 | 1.87e+20 |
J 165.22144, 10.54709| 0.025 | 0.026    | 2.19e+20 | 2.27e+20 | 1.75e+19 | 1.88e+19 | 2.37e+20 | 2.45e+20 |
J 188.92183, 26.52309| 0.016 | 0.016    | 1.21e+20 | 1.20e+20 | 5.45e+18 | 5.40e+18 | 1.26e+20 | 1.25e+20 |
J 155.42078, 23.92559| 0.022 | 0.021    | 1.65e+20 | 1.57e+20 | 1.13e+19 | 1.02e+19 | 1.76e+20 | 1.67e+20 |
J 141.96983, 29.98525| 0.022 | 0.022    | 1.78e+20 | 1.77e+20 | 1.18e+19 | 1.18e+19 | 1.90e+20 | 1.89e+20 |
J 243.14767, 29.48542| 0.038 | 0.038    | 3.12e+20 | 3.16e+20 | 4.07e+19 | 4.15e+19 | 3.53e+20 | 3.58e+20 |
J 233.13344, 4.68081| 0.052 | 0.052    | 4.03e+20 | 4.01e+20 | 7.42e+19 | 7.36e+19 | 4.77e+20 | 4.75e+20 |
J 200.06047, 33.14337| 0.014 | 0.015    | 1.26e+20 | 1.31e+20 | 5.01e+18 | 5.54e+18 | 1.31e+20 | 1.36e+20 |
J 123.64912, 55.14478| 0.049 | 0.047    | 4.40e+20 | 4.15e+20 | 7.65e+19 | 6.87e+19 | 5.17e+20 | 4.83e+20 |
J 170.73451, 34.11109| 0.023 | 0.023    | 2.25e+20 | 2.27e+20 | 1.61e+19 | 1.64e+19 | 2.41e+20 | 2.43e+20 |
J 205.59932, 29.82456| 0.016 | 0.016    | 1.36e+20 | 1.36e+20 | 6.40e+18 | 6.48e+18 | 1.43e+20 | 1.42e+20 |
J 161.08627, 14.08417| 0.029 | 0.029    | 2.75e+20 | 2.70e+20 | 2.64e+19 | 2.59e+19 | 3.01e+20 | 2.96e+20 |
J 151.71638, 14.37340| 0.040 | 0.040    | 3.51e+20 | 3.44e+20 | 4.82e+19 | 4.70e+19 | 3.99e+20 | 3.91e+20 |
J 203.99255, 33.47375| 0.012 | 0.012    | 9.33e+19 | 9.10e+19 | 3.11e+18 | 3.00e+18 | 9.64e+19 | 9.40e+19 |
J 238.75679, 41.57878| 0.017 | 0.017    | 1.56e+20 | 1.55e+20 | 7.64e+18 | 7.63e+18 | 1.64e+20 | 1.63e+20 |
